Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-3","আমার বাংলা বই","১. আমাদের কথা","মিলকরণ",30,30
"class-3","আমার বাংলা বই","১. আমাদের কথা","যুক্তবর্ণ",14,14
"class-3","আমার বাংলা বই","১. আমাদের কথা","রচনামূলক প্রশ্ন",6,6
"class-3","আমার বাংলা বই","১. আমাদের কথা","শব্দার্থ",22,22
"class-3","আমার বাংলা বই","১. আমাদের কথা","শুন্যস্থান",28,28
"class-3","আমার বাংলা বই","১০. বাক্য পড়ি ও লিখি","সংক্ষিপ্ত",9,9
"class-3","আমার বাংলা বই","১০. বাক্য পড়ি ও লিখি","বাক্য গঠন",10,10
"class-3","আমার বাংলা বই","১০. বাক্য পড়ি ও লিখি","বীপরিত শব্দ",10,10
"class-3","আমার বাংলা বই","১০. বাক্য পড়ি ও লিখি","যুক্তবর্ণ",10,10
"class-3","আমার বাংলা বই","১০. বাক্য পড়ি ও লিখি","রচনামূলক প্রশ্ন",4,4
"class-3","আমার বাংলা বই","১০. বাক্য পড়ি ও লিখি","শব্দার্থ",12,12
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","MCQ",31,31
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","সংক্ষিপ্ত",35,35
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","True False",1,1
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","বাক্য গঠন",24,24
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","বিরাম চিহ্ন",4,4
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","বীপরিত শব্দ",10,10
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","মিলকরণ",10,10
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","যুক্তবর্ণ",24,24
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","রচনামূলক প্রশ্ন",14,14
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","লিঙ্গান্তর",10,10
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","শব্দার্থ",18,18
"class-3","আমার বাংলা বই","১১. আনন্দের দিন","শুন্যস্থান",10,10
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","CQ",1,1
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","MCQ",79,79
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","সংক্ষিপ্ত",71,71
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","True False",14,14
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","বাক্য গঠন",14,14
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","বিরাম চিহ্ন",6,6
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","বীপরিত শব্দ",22,22
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","মিলকরণ",12,12
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","যুক্তবর্ণ",16,16
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","রচনামূলক প্রশ্ন",22,22
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","লিঙ্গান্তর",14,14
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","শব্দার্থ",28,28
"class-3","আমার বাংলা বই","১২. বালুচরে একদিন","শুন্যস্থান",18,18
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","MCQ",43,43
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","সংক্ষিপ্ত",10,10
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","True False",2,2
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","কবিতা",2,2
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","বাক্য গঠন",26,26
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","বীপরিত শব্দ",10,10
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","মিলকরণ",12,12
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","যুক্তবর্ণ",10,10
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","রচনামূলক প্রশ্ন",10,10
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","লিঙ্গান্তর",10,10
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","শব্দার্থ",48,48
"class-3","আমার বাংলা বই","১৩. আমাদের গ্রাম","শুন্যস্থান",10,10
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","CQ",5,5
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","MCQ",110,110
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","সংক্ষিপ্ত",57,57
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","True False",1,1
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","বাক্য গঠন",22,22
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","বিরাম চিহ্ন",2,2
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","বীপরিত শব্দ",14,14
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","মিলকরণ",22,22
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","যুক্তবর্ণ",14,14
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","রচনামূলক প্রশ্ন",14,14
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","লিঙ্গান্তর",12,12
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","শব্দার্থ",10,10
"class-3","আমার বাংলা বই","১৪. নদীর দেশ","শুন্যস্থান",10,10
"class-3","আমার বাংলা বই","১৫. হারজিতের গল্প","CQ",3,3
"class-3","আমার বাংলা বই","১৫. হারজিতের গল্প","MCQ",56,56
"class-3","আমার বাংলা বই","১৫. হারজিতের গল্প","সংক্ষিপ্ত",26,26
"class-3","আমার বাংলা বই","১৫. হারজিতের গল্প","True False",2,2
"class-3","আমার বাংলা বই","১৫. হারজিতের গল্প","বাক্য গঠন",20,20
"class-3","আমার বাংলা বই","১৫. হারজিতের গল্প","বিরাম চিহ্ন",2,2
